States,01-22-2020,01-23-2020,01-24-2020,01-25-2020,01-26-2020,01-27-2020,01-28-2020,01-29-2020,01-30-2020,01-31-2020,02-01-2020,02-02-2020,02-03-2020,02-04-2020,02-05-2020,02-06-2020,02-07-2020,02-08-2020,02-09-2020,02-10-2020,02-11-2020,02-12-2020,02-13-2020,02-14-2020,02-15-2020,02-16-2020,02-17-2020,02-18-2020,02-19-2020,02-20-2020,02-21-2020,02-22-2020,02-23-2020,02-24-2020,02-25-2020,02-26-2020,02-27-2020,02-28-2020,02-29-2020,03-01-2020,03-02-2020,03-03-2020,03-04-2020,03-05-2020,03-06-2020,03-07-2020,03-08-2020,03-09-2020,03-10-2020,03-11-2020,03-12-2020,03-13-2020,03-14-2020,03-15-2020,03-16-2020,03-17-2020,03-18-2020,03-19-2020,03-20-2020,03-21-2020,03-22-2020,03-23-2020,03-24-2020,03-25-2020,03-26-2020,03-27-2020,03-28-2020,03-29-2020,03-30-2020,03-31-2020,04-01-2020,04-02-2020,04-03-2020,04-04-2020,04-05-2020,04-06-2020,04-07-2020,04-08-2020,04-09-2020,04-10-2020,04-11-2020,04-12-2020,04-13-2020,04-14-2020,04-15-2020,04-16-2020,04-17-2020,04-18-2020,04-19-2020,04-20-2020,04-21-2020,04-22-2020,04-23-2020,04-24-2020,04-25-2020,04-26-2020,04-27-2020,04-28-2020,04-29-2020,04-30-2020,05-01-2020
Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,4.0,10.0,14.0,16.0,20.0,35.0,46,65,83,119,137,151,185,239.0,273.0,310.0,370.0,409.0,477.0,512.0,582.0,652.0,702.0,755.0,806.0,840.0,884.0,1013.0,1103.0,1156.0,1213.0,1267.0,1296.0,1328.0,1405.0,1473.0,1599.0,1660.0,1707.0,1729.0,1740.0,1801.0,1845.0,1905.0,1970.0
Maine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,3,3,5.0,5.0,7.0,9.0,10.0,10.0,10.0,12.0,14.0,16.0,17.0,19.0,19.0,19.0,20.0,24.0,27.0,29.0,32.0,34.0,35.0,36.0,39.0,44.0,47.0,47.0,50.0,51.0,51.0,52.0,53.0,55.0
Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,4,4,4,5,5,10,15,18.0,31.0,36.0,43.0,54.0,67.0,91.0,103.0,124.0,138.0,171.0,206.0,236.0,262.0,302.0,311.0,319.0,334.0,421.0,461.0,582.0,652.0,698.0,748.0,798.0,875.0,910.0,945.0,1016.0,1078.0,1140.0,1080.0
Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,9.0,11,15,25,35,44,48,56,89.0,122.0,154.0,192.0,216.0,231.0,260.0,356.0,433.0,503.0,599.0,686.0,756.0,844.0,844.0,1108.0,1108.0,1245.0,1404.0,1706.0,1706.0,1961.0,2182.0,2360.0,2556.0,2730.0,2899.0,3003.0,3153.0,3405.0,3562.0,3716.0
Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,9.0,15.0,24,43,61,92,111,132,184,259.0,335.0,417.0,479.0,540.0,617.0,727.0,845.0,959.0,1076.0,1276.0,1384.0,1479.0,1602.0,1768.0,1921.0,1996.0,2227.0,2308.0,2391.0,2468.0,2575.0,2813.0,2977.0,3085.0,3155.0,3315.0,3407.0,3568.0,3670.0,3789.0,3866.0
Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,2,4,5,9,10,12.0,17.0,18.0,22.0,24.0,29.0,30.0,34.0,39.0,50.0,57.0,64.0,70.0,70.0,79.0,87.0,87.0,111.0,121.0,134.0,143.0,160.0,179.0,200.0,221.0,244.0,272.0,286.0,301.0,319.0,343.0,370.0
Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1,3,6,8,13,14,16,20.0,22.0,26.0,29.0,35.0,43.0,51.0,60.0,67.0,76.0,82.0,93.0,96.0,98.0,111.0,122.0,129.0,140.0,152.0,159.0,169.0,183.0,193.0,201.0,209.0,221.0,227.0,229.0,239.0,250.0,261.0,281.0
Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,4.0,7,8,9,9,10,13,13,15.0,18.0,22.0,25.0,33.0,44.0,47.0,65.0,86.0,93.0,99.0,116.0,118.0,123.0,149.0,153.0,169.0,184.0,197.0,199.0,200.0,224.0,238.0,252.0,272.0,281.0,283.0,343.0,330.0,338.0,350.0,360.0
Montana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,5,5.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,8.0,10.0,10.0,10.0,12.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,16.0,16.0,16.0
Nebraska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,2,2,3.0,4.0,5.0,6.0,6.0,8.0,9.0,10.0,12.0,14.0,15.0,17.0,17.0,17.0,20.0,20.0,21.0,24.0,24.0,28.0,33.0,33.0,38.0,47.0,50.0,50.0,56.0,56.0,56.0,56.0,70.0,73.0
