County,Cases,Deaths,Date,StateCode
Shelby,2,,3/30/2020,TX
Smith,32,1,3/30/2020,TX
Starr,2,,3/30/2020,TX
Swisher,1,,3/30/2020,TX
Tarrant,139,1,3/30/2020,TX
Taylor,7,,3/30/2020,TX
Terry,3,,3/30/2020,TX
Tom Green,5,,3/30/2020,TX
Travis,200,1,3/30/2020,TX
Upshur,2,,3/30/2020,TX
Uvalde,2,,3/30/2020,TX
Val Verde,5,,3/30/2020,TX
Van Zandt,2,1,3/30/2020,TX
Victoria,6,,3/30/2020,TX
Walker,3,,3/30/2020,TX
Waller,3,,3/30/2020,TX
Washington,8,,3/30/2020,TX
Webb,32,1,3/30/2020,TX
Wharton,6,,3/30/2020,TX
Wichita,28,,3/30/2020,TX
Willacy,2,,3/30/2020,TX
Williamson,37,1,3/30/2020,TX
Wilson,2,,3/30/2020,TX
Wise,1,,3/30/2020,TX
Young,1,,3/30/2020,TX
